vertexNum,edgeNum,iterationNum,maxEdgeDegree,minProcessEdge,percentage,sOriginalDistance,sMinEdgetoProcess,sApprAttrValues,sReduceExecution,sPartialGraphProcess,executionTime,Error
4194304,67107030,1,97735,0,100.000000,0,0,0,1,0,11.898350,698.121460
4194304,67107030,0,97735,0,100.000000,0,0,0,1,0,48.424023,390.700012
4194304,67107030,6,97735,0,0.900000,0,0,0,0,1,11.899310,722.827209
4194304,67107030,6,97735,0,0.800000,0,0,0,0,1,11.970851,790.175720
4194304,67107030,6,97735,0,0.700000,0,0,0,0,1,11.899439,692.339050
4194304,67107030,6,97735,0,0.600000,0,0,0,0,1,11.683400,844.604858
4194304,67107030,6,97735,0,0.500000,0,0,0,0,1,11.901322,703.852539
4194304,67107030,6,97735,0,0.400000,0,0,0,0,1,11.899721,757.497925
4194304,67107030,6,97735,0,0.300000,0,0,0,0,1,11.902011,700.326660
4194304,67107030,6,97735,0,0.200000,0,0,0,0,1,11.900851,692.889343
4194304,67107030,6,97735,0,0.100000,0,0,0,0,1,11.899902,793.068665
8388608,134215549,5,152947,0,100.000000,1,0,0,0,0,0.000000,2680.717285
8388608,134215549,5,152947,60,100.000000,0,1,0,0,0,2.691110,2354.350830
8388608,134215549,5,152947,120,100.000000,0,1,0,0,0,5.956944,2325.369629
8388608,134215549,5,152947,180,100.000000,0,1,0,0,0,5.956944,2246.351562
8388608,134215549,5,152947,240,100.000000,0,1,0,0,0,8.676067,2245.180176
8388608,134215549,5,152947,300,100.000000,0,1,0,0,0,11.932147,1832.647217
8388608,134215549,5,152947,360,100.000000,0,1,0,0,0,11.932987,2115.562012
8388608,134215549,5,152947,420,100.000000,0,1,0,0,0,11.932987,2052.916748
8388608,134215549,5,152947,480,100.000000,0,1,0,0,0,11.932987,1830.325806
8388608,134215549,5,152947,540,100.000000,0,1,0,0,0,11.932987,2026.541382
8388608,134215549,5,152947,0,100.000000,0,0,1,0,0,56.368076,2602.916016
8388608,134215549,5,152947,0,100.000000,0,0,0,1,0,0.000000,2496.043701
8388608,134215549,4,152947,0,100.000000,0,0,0,1,0,0.000000,2661.823730
8388608,134215549,3,152947,0,100.000000,0,0,0,1,0,0.000631,2733.276855
8388608,134215549,2,152947,0,100.000000,0,0,0,1,0,0.074589,2629.453857
8388608,134215549,1,152947,0,100.000000,0,0,0,1,0,11.964030,1479.099121
8388608,134215549,0,152947,0,100.000000,0,0,0,1,0,46.392517,780.261475
8388608,134215549,5,152947,0,0.900000,0,0,0,0,1,11.966883,1366.212524
8388608,134215549,5,152947,0,0.800000,0,0,0,0,1,11.608871,1686.973755
8388608,134215549,5,152947,0,0.700000,0,0,0,0,1,11.864046,1527.455933
8388608,134215549,5,152947,0,0.600000,0,0,0,0,1,11.962971,1541.470459
8388608,134215549,5,152947,0,0.500000,0,0,0,0,1,11.966872,1513.391724
8388608,134215549,5,152947,0,0.400000,0,0,0,0,1,11.967327,1463.720459
8388608,134215549,5,152947,0,0.300000,0,0,0,0,1,12.011349,1634.447388
8388608,134215549,5,152947,0,0.200000,0,0,0,0,1,11.961205,1524.998047
8388608,134215549,5,152947,0,0.100000,0,0,0,0,1,11.966677,1513.687256
